Product,Price
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports HeadphonesKSh 60040%,KSh 600
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCHKSh 13,59932%","KSh 13,599"
ColorScreen  SmartWatch Heart Rate Sport BraceletKSh 48947%,KSh 489
Smartwatch Business Bluetooth Waterproof SportKSh 55848%,KSh 558
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTYKSh 2,39935%","KSh 2,399"
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)KSh 11,59936%","KSh 11,599"
"Istanbul 2 Modern TV Stand With LED LightsKSh 6,95950%","KSh 6,959"
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -PinkKSh 78148%,KSh 781
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber WhiteKSh 14,59044%","KSh 14,590"
Fashion Men Leather Loafers & Slip-OnsKSh 72753%,KSh 727
Color Screen Smart Watch Heart Rate Sport BraceletKSh 51848%,KSh 518
Stereo F9 Bluetooth Earphone  Power HeadsetKSh 54042%,KSh 540
"Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - BeigeKSh 1,83033%","KSh 1,830"
"VILLAON V20 6.3"" 2GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim-BlueKSh 6,28821%","KSh 6,288"
"NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2)KSh 1,02230%","KSh 1,022"
